2017-02-25 10:13:44,295	INFO	main	<module>	Line:13	app started
2017-02-25 10:13:44,317	INFO	_internal	_log	Line:87	 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
2017-02-25 10:16:18,368	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:18] "OPTIONS /login/ HTTP/1.1" 200 -
2017-02-25 10:16:18,420	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:18] "POST /login/ HTTP/1.1" 200 -
2017-02-25 10:16:22,366	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:22] "GET /account/borrow/713fb956c4f31b304bd9c105f1df2d96 HTTP/1.1" 200 -
2017-02-25 10:16:27,505	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:27] "GET /account/summary/713fb956c4f31b304bd9c105f1df2d96 HTTP/1.1" 200 -
2017-02-25 10:16:51,225	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET / HTTP/1.1" 200 -
2017-02-25 10:16:51,664	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/css/typography.css HTTP/1.1" 304 -
2017-02-25 10:16:51,674	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/css/reset.css HTTP/1.1" 304 -
2017-02-25 10:16:51,685	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/css/screen.css HTTP/1.1" 304 -
2017-02-25 10:16:51,692	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/lib/jquery-1.8.0.min.js HTTP/1.1" 304 -
2017-02-25 10:16:51,712	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/lib/jquery.slideto.min.js HTTP/1.1" 304 -
2017-02-25 10:16:51,724	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/lib/jquery.wiggle.min.js HTTP/1.1" 304 -
2017-02-25 10:16:51,735	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/lib/jquery.ba-bbq.min.js HTTP/1.1" 304 -
2017-02-25 10:16:51,749	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/lib/handlebars-2.0.0.js HTTP/1.1" 304 -
2017-02-25 10:16:51,762	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/lib/underscore-min.js HTTP/1.1" 304 -
2017-02-25 10:16:51,793	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/lib/backbone-min.js HTTP/1.1" 304 -
2017-02-25 10:16:51,805	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/swagger-ui.min.js HTTP/1.1" 304 -
2017-02-25 10:16:51,815	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/lib/highlight.7.3.pack.js HTTP/1.1" 304 -
2017-02-25 10:16:51,823	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/lib/jsoneditor.min.js HTTP/1.1" 304 -
2017-02-25 10:16:51,832	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/lib/marked.js HTTP/1.1" 304 -
2017-02-25 10:16:51,839	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:51] "GET /swaggerui/bower/swagger-ui/dist/lib/swagger-oauth.js HTTP/1.1" 304 -
2017-02-25 10:16:52,139	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:52] "GET /swaggerui/bower/swagger-ui/dist/fonts/DroidSans.ttf HTTP/1.1" 304 -
2017-02-25 10:16:52,156	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:52] "GET /swagger.json HTTP/1.1" 200 -
2017-02-25 10:16:52,374	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:52] "GET /favicon.ico HTTP/1.1" 404 -
2017-02-25 10:16:52,482	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:52] "GET /swaggerui/bower/swagger-ui/dist/fonts/DroidSans-Bold.ttf HTTP/1.1" 304 -
2017-02-25 10:16:52,490	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:16:52] "GET /favicon.ico HTTP/1.1" 404 -
2017-02-25 10:17:34,590	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:17:34] "GET /account/borrow/713fb956c4f31b304bd9c105f1df2d96 HTTP/1.1" 200 -
2017-02-25 10:17:35,582	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:17:35] "GET /account/summary/713fb956c4f31b304bd9c105f1df2d96 HTTP/1.1" 200 -
2017-02-25 10:17:39,314	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:17:39] "GET /account/borrow/713fb956c4f31b304bd9c105f1df2d96 HTTP/1.1" 200 -
2017-02-25 10:19:07,922	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:19:07] "POST /login/ HTTP/1.1" 200 -
2017-02-25 10:19:07,931	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:19:07] "GET /swaggerui/bower/swagger-ui/dist/images/throbber.gif HTTP/1.1" 304 -
2017-02-25 10:19:12,551	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:19:12] "GET /account/1/17845dea3b4fe222ba6ed98101bd4442 HTTP/1.1" 200 -
2017-02-25 10:30:27,514	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:30:27] "GET /account/borrow/713fb956c4f31b304bd9c105f1df2d96 HTTP/1.1" 200 -
2017-02-25 10:30:28,606	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:30:28] "GET /account/summary/713fb956c4f31b304bd9c105f1df2d96 HTTP/1.1" 200 -
2017-02-25 10:30:29,569	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:30:29] "GET /account/borrow/713fb956c4f31b304bd9c105f1df2d96 HTTP/1.1" 200 -
2017-02-25 10:30:32,220	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:30:32] "GET /account/borrow/713fb956c4f31b304bd9c105f1df2d96 HTTP/1.1" 200 -
2017-02-25 10:30:33,979	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:30:33] "GET /login/713fb956c4f31b304bd9c105f1df2d96 HTTP/1.1" 200 -
2017-02-25 10:30:39,948	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:30:39] "OPTIONS /login/ HTTP/1.1" 200 -
2017-02-25 10:30:39,992	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:30:39] "POST /login/ HTTP/1.1" 200 -
2017-02-25 10:30:40,974	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:30:40] "GET /account/borrow/68229f7a1c39f48a5f4e1936167a9703 HTTP/1.1" 200 -
2017-02-25 10:36:14,346	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:36:14] "GET /account/borrow/68229f7a1c39f48a5f4e1936167a9703 HTTP/1.1" 200 -
2017-02-25 10:51:10,499	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:51:10] "GET /account/borrow/68229f7a1c39f48a5f4e1936167a9703 HTTP/1.1" 200 -
2017-02-25 10:51:11,815	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 10:51:11] "GET /account/summary/68229f7a1c39f48a5f4e1936167a9703 HTTP/1.1" 200 -
2017-02-25 11:21:46,425	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 11:21:46] "GET /account/borrow/68229f7a1c39f48a5f4e1936167a9703 HTTP/1.1" 200 -
2017-02-25 11:24:13,680	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 11:24:13] "GET /account/borrow/68229f7a1c39f48a5f4e1936167a9703 HTTP/1.1" 200 -
2017-02-25 11:24:14,149	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 11:24:14] "GET /account/summary/68229f7a1c39f48a5f4e1936167a9703 HTTP/1.1" 200 -
2017-02-25 11:24:15,348	INFO	_internal	_log	Line:87	192.168.99.1 - - [25/Feb/2017 11:24:15] "GET /account/borrow/68229f7a1c39f48a5f4e1936167a9703 HTTP/1.1" 200 -
